Epoch: 248, Train Acc: 56.442434, Val Acc: 55.086667
Epoch: 249, Train Acc: 56.454770, Val Acc: 55.113333
Epoch: 250, Train Acc: 56.478618, Val Acc: 55.146667
Epoch: 251, Train Acc: 56.475329, Val Acc: 55.146667
Epoch: 252, Train Acc: 56.455592, Val Acc: 55.120000
Epoch: 253, Train Acc: 56.458059, Val Acc: 55.100000
Epoch: 254, Train Acc: 56.468750, Val Acc: 55.093333
Epoch: 255, Train Acc: 56.466283, Val Acc: 55.113333
Epoch: 256, Train Acc: 56.485197, Val Acc: 55.100000
Epoch: 257, Train Acc: 56.483553, Val Acc: 55.120000
Epoch: 258, Train Acc: 56.484375, Val Acc: 55.120000
Epoch: 259, Train Acc: 56.518092, Val Acc: 55.146667
Epoch: 260, Train Acc: 56.495888, Val Acc: 55.133333
Epoch: 261, Train Acc: 56.499178, Val Acc: 55.120000
Epoch: 262, Train Acc: 56.506579, Val Acc: 55.093333
Epoch: 263, Train Acc: 56.538651, Val Acc: 55.146667
Epoch: 264, Train Acc: 56.527138, Val Acc: 55.106667
Epoch: 265, Train Acc: 56.521382, Val Acc: 55.120000
Epoch: 266, Train Acc: 56.506579, Val Acc: 55.080000
Epoch: 267, Train Acc: 56.532072, Val Acc: 55.106667
Epoch: 268, Train Acc: 56.525493, Val Acc: 55.120000
Epoch: 269, Train Acc: 56.559211, Val Acc: 55.153333
Epoch: 270, Train Acc: 56.519737, Val Acc: 55.066667
Epoch: 271, Train Acc: 56.553454, Val Acc: 55.106667
Epoch: 272, Train Acc: 56.555921, Val Acc: 55.126667
Epoch: 273, Train Acc: 56.559211, Val Acc: 55.066667
Epoch: 274, Train Acc: 56.549342, Val Acc: 55.093333
Epoch: 275, Train Acc: 56.554276, Val Acc: 55.040000
Epoch: 276, Train Acc: 56.583059, Val Acc: 55.100000
Epoch: 277, Train Acc: 56.564967, Val Acc: 55.060000
Epoch: 278, Train Acc: 56.567434, Val Acc: 55.073333
Epoch: 279, Train Acc: 56.578947, Val Acc: 55.100000
Epoch: 280, Train Acc: 56.594572, Val Acc: 55.140000
Epoch: 281, Train Acc: 56.567434, Val Acc: 55.080000
Epoch: 282, Train Acc: 56.562500, Val Acc: 55.066667
Epoch: 283, Train Acc: 56.622533, Val Acc: 55.146667
Epoch: 284, Train Acc: 56.602796, Val Acc: 55.080000
Epoch: 285, Train Acc: 56.604441, Val Acc: 55.046667
Epoch: 286, Train Acc: 56.599507, Val Acc: 55.046667
Epoch: 287, Train Acc: 56.603618, Val Acc: 55.086667
Epoch: 288, Train Acc: 56.617599, Val Acc: 55.100000
Epoch: 289, Train Acc: 56.631579, Val Acc: 55.046667
Epoch: 290, Train Acc: 56.625000, Val Acc: 55.000000
Epoch: 291, Train Acc: 56.638158, Val Acc: 55.053333
Epoch: 292, Train Acc: 56.635691, Val Acc: 55.040000
Epoch: 293, Train Acc: 56.634046, Val Acc: 55.013333
Epoch: 294, Train Acc: 56.633224, Val Acc: 55.073333
Epoch: 295, Train Acc: 56.633224, Val Acc: 55.013333
Epoch: 296, Train Acc: 56.614309, Val Acc: 54.973333
Epoch: 297, Train Acc: 56.633224, Val Acc: 55.000000
Epoch: 298, Train Acc: 56.615954, Val Acc: 55.026667
Epoch: 299, Train Acc: 56.647204, Val Acc: 55.046667
Epoch: 300, Train Acc: 56.639803, Val Acc: 55.060000
Epoch: 301, Train Acc: 56.648849, Val Acc: 55.020000
Epoch: 302, Train Acc: 56.657072, Val Acc: 55.073333
Epoch: 303, Train Acc: 56.675164, Val Acc: 55.046667
Epoch: 304, Train Acc: 56.666941, Val Acc: 55.033333
Epoch: 305, Train Acc: 56.657895, Val Acc: 55.066667
Epoch: 306, Train Acc: 56.651316, Val Acc: 55.020000
Epoch: 307, Train Acc: 56.666941, Val Acc: 55.046667
Epoch: 308, Train Acc: 56.663651, Val Acc: 54.966667
Epoch: 309, Train Acc: 56.671875, Val Acc: 55.026667
Epoch: 310, Train Acc: 56.653783, Val Acc: 54.980000
Epoch: 311, Train Acc: 56.675987, Val Acc: 55.013333
Epoch: 312, Train Acc: 56.652138, Val Acc: 54.973333
Epoch: 313, Train Acc: 56.689145, Val Acc: 55.033333
Epoch: 314, Train Acc: 56.657895, Val Acc: 54.960000
Epoch: 315, Train Acc: 56.689145, Val Acc: 55.013333
Epoch: 316, Train Acc: 56.669408, Val Acc: 54.993333
Epoch: 317, Train Acc: 56.691612, Val Acc: 55.040000
Epoch: 318, Train Acc: 56.723684, Val Acc: 55.013333
Epoch: 319, Train Acc: 56.703125, Val Acc: 55.053333
Epoch: 320, Train Acc: 56.708882, Val Acc: 55.066667
Epoch: 321, Train Acc: 56.733553, Val Acc: 55.060000
Epoch: 322, Train Acc: 56.701480, Val Acc: 55.046667
Epoch: 323, Train Acc: 56.717928, Val Acc: 55.046667
Epoch: 324, Train Acc: 56.726974, Val Acc: 55.086667
Epoch: 325, Train Acc: 56.721217, Val Acc: 55.026667
Epoch: 326, Train Acc: 56.759868, Val Acc: 55.073333
