                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                  1.143,                0.52772,                 1.2489,                0.90891,                0.88349,                0.95162,                0.66471,                 1.1259,                0.51289,                 1.3625,             0.00092678,             0.00092678,             0.00092678
                     73,                 1.1416,                0.53101,                 1.2482,                0.91592,                0.86888,                0.95018,                0.65845,                 1.1374,                0.51331,                 1.3711,              0.0009197,              0.0009197,              0.0009197
                     74,                  1.135,                0.53376,                 1.2626,                0.91755,                0.87233,                0.95096,                0.66344,                 1.1211,                 0.5123,                 1.3603,             0.00091263,             0.00091263,             0.00091263
                     75,                 1.1319,                0.53092,                 1.2534,                0.91089,                0.87468,                0.95036,                 0.6642,                 1.1267,                0.50981,                 1.3607,             0.00090556,             0.00090556,             0.00090556
                     76,                 1.1333,                0.52833,                 1.2505,                0.90496,                0.88441,                0.95166,                0.66364,                 1.1226,                0.51223,                 1.3633,             0.00089848,             0.00089848,             0.00089848
                     77,                 1.1394,                0.52771,                 1.2484,                  0.913,                0.87765,                0.95062,                0.66186,                 1.1247,                0.51261,                 1.3583,             0.00089141,             0.00089141,             0.00089141
                     78,                  1.122,                0.52215,                 1.2487,                0.91247,                0.87413,                 0.9484,                0.65466,                  1.145,                0.51427,                 1.3806,             0.00088434,             0.00088434,             0.00088434
                     79,                  1.128,                0.52086,                 1.2373,                0.91423,                0.87448,                0.95104,                0.66501,                 1.1198,                 0.5044,                 1.3589,             0.00087726,             0.00087726,             0.00087726
                     80,                 1.1344,                0.52499,                 1.2378,                0.92031,                0.87069,                0.95145,                0.66699,                  1.117,                0.50704,                 1.3542,             0.00087019,             0.00087019,             0.00087019
                     81,                 1.1208,                0.51816,                 1.2438,                0.90974,                0.88125,                0.95156,                0.66223,                 1.1263,                0.50972,                 1.3648,             0.00086312,             0.00086312,             0.00086312
                     82,                 1.1274,                0.52149,                 1.2432,                0.91276,                0.87919,                0.95151,                0.66665,                 1.1209,                0.50207,                 1.3597,             0.00085604,             0.00085604,             0.00085604
                     83,                 1.1124,                0.51044,                 1.2267,                0.91707,                0.87402,                0.95011,                0.66227,                 1.1297,                0.50731,                 1.3673,             0.00084897,             0.00084897,             0.00084897
                     84,                 1.1284,                0.52482,                 1.2427,                0.90667,                0.88422,                0.95317,                0.66401,                 1.1336,                0.51136,                 1.3647,              0.0008419,              0.0008419,              0.0008419
                     85,                 1.1224,                0.52068,                 1.2429,                0.90573,                0.87939,                0.94895,                0.66433,                  1.113,                0.50782,                 1.3546,             0.00083482,             0.00083482,             0.00083482
                     86,                 1.1032,                0.50929,                 1.2333,                0.91873,                0.87345,                 0.9513,                0.66351,                 1.1267,                0.50634,                 1.3616,             0.00082775,             0.00082775,             0.00082775
                     87,                 1.1081,                0.51347,                 1.2278,                0.91108,                0.88121,                0.95229,                0.66405,                 1.1319,                0.50883,                 1.3663,             0.00082067,             0.00082067,             0.00082067
                     88,                 1.1103,                0.51152,                 1.2207,                0.90641,                 0.8842,                0.95259,                0.66746,                 1.1184,                0.50007,                 1.3577,              0.0008136,              0.0008136,              0.0008136
                     89,                 1.1029,                0.51256,                 1.2317,                0.90875,                0.88205,                0.95373,                0.66758,                 1.1214,                0.49996,                 1.3593,             0.00080653,             0.00080653,             0.00080653
                     90,                 1.0971,                0.50812,                 1.2316,                0.91001,                 0.8757,                0.95113,                0.66223,                 1.1285,                0.50621,                 1.3655,             0.00079945,             0.00079945,             0.00079945
                     91,                 1.1134,                0.51024,                 1.2397,                0.91566,                0.87898,                0.95183,                0.66124,                 1.1316,                0.51058,                 1.3711,             0.00079238,             0.00079238,             0.00079238
                     92,                 1.0979,                0.50437,                  1.224,                0.91582,                0.87919,                0.95333,                0.66578,                   1.13,                0.49545,                 1.3667,             0.00078531,             0.00078531,             0.00078531
                     93,                 1.1077,                0.50844,                  1.233,                0.91504,                0.87038,                0.95122,                0.66377,                 1.1246,                0.50106,                 1.3647,             0.00077823,             0.00077823,             0.00077823
                     94,                 1.0941,                0.50723,                  1.225,                0.91312,                 0.8754,                0.95132,                0.65693,                 1.1474,                0.50568,                 1.3802,             0.00077116,             0.00077116,             0.00077116
                     95,                 1.1963,                0.70912,                 1.2982,                0.05704,                0.17436,                0.03688,                0.01383,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     96,                 1.1508,                0.55273,                 1.2679,                0.89522,                0.87214,                0.94235,                0.64418,                 1.1557,                 0.5485,                 1.4095,             0.00075701,             0.00075701,             0.00075701
                     97,                  1.133,                0.54049,                 1.2752,                0.91539,                0.85983,                 0.9456,                0.65193,                 1.1502,                 0.5344,                 1.3975,             0.00074994,             0.00074994,             0.00074994
                     98,                  1.117,                0.52715,                 1.2506,                0.90403,                0.87601,                0.94778,                 0.6591,                 1.1399,                0.52944,                 1.3906,             0.00074287,             0.00074287,             0.00074287
                     99,                 1.1146,                0.52447,                 1.2459,                0.90074,                0.87919,                0.94958,                0.65947,                 1.1374,                0.52253,                 1.3861,             0.00073579,             0.00073579,             0.00073579
                    100,                  1.118,                0.52346,                  1.249,                0.90514,                 0.8763,                0.94845,                0.66013,                  1.128,                0.51783,                  1.381,             0.00072872,             0.00072872,             0.00072872
                    101,                 1.1117,                0.51916,                 1.2409,                0.90741,                0.87253,                0.94812,                0.65956,                 1.1333,                0.51692,                 1.3849,             0.00072164,             0.00072164,             0.00072164
                    102,                 1.1078,                0.52031,                 1.2503,                0.90867,                0.87519,                0.94737,                0.65838,                 1.1399,                0.52335,                 1.3881,             0.00071457,             0.00071457,             0.00071457
                    103,                 1.1054,                0.51878,                 1.2442,                0.90014,                0.88595,                0.95085,                0.65939,                 1.1351,                0.52199,                 1.3851,              0.0007075,              0.0007075,              0.0007075
                    104,                 1.0931,                0.51486,                 1.2393,                0.91447,                0.87137,                0.95023,                0.65924,                 1.1375,                0.51559,                  1.387,             0.00070042,             0.00070042,             0.00070042
                    105,                 1.1017,                0.51255,                 1.2243,                0.90823,                0.87683,                0.95009,                 0.6606,                  1.131,                0.51236,                 1.3782,             0.00069335,             0.00069335,             0.00069335
                    106,                 1.0941,                0.50993,                 1.2288,                0.90106,                0.87949,                0.94825,                0.65382,                 1.1508,                 0.5196,                 1.3924,             0.00068628,             0.00068628,             0.00068628
                    107,                 1.0905,                0.50692,                 1.2302,                0.90643,                0.87581,                0.94787,                0.65745,                 1.1403,                0.51638,                 1.3851,              0.0006792,              0.0006792,              0.0006792
                    108,                 1.0921,                0.50854,                 1.2334,                0.90669,                0.87644,                0.95025,                0.65602,                 1.1448,                 0.5179,                 1.3922,             0.00067213,             0.00067213,             0.00067213
                    109,                 1.0876,                0.50969,                 1.2291,                0.90288,                0.88234,                0.94923,                0.65731,                 1.1411,                0.51312,                 1.3854,             0.00066506,             0.00066506,             0.00066506
                    110,                  1.083,                0.50193,                 1.2239,                0.91059,                 0.8769,                0.94964,                0.65586,                 1.1499,                0.51291,                 1.3966,             0.00065798,             0.00065798,             0.00065798
                    111,                 1.0766,                0.50599,                  1.228,                0.90327,                0.88543,                0.94989,                0.65676,                 1.1462,                 0.5144,                 1.3881,             0.00065091,             0.00065091,             0.00065091
                    112,                 1.0699,                0.49439,                 1.2216,                0.90791,                0.88126,                0.95078,                0.66129,                 1.1417,                0.50615,                 1.3877,             0.00064384,             0.00064384,             0.00064384
                    113,                 1.0744,                0.49869,                 1.2258,                0.90589,                0.87517,                0.94967,                0.65727,                 1.1415,                0.51059,                 1.3919,             0.00063676,             0.00063676,             0.00063676
                    114,                 1.0631,                0.49342,                 1.2112,                0.91319,                0.87558,                0.94759,                0.65335,                 1.1511,                0.51394,                  1.395,             0.00062969,             0.00062969,             0.00062969
                    115,                 1.0673,                0.49629,                 1.2145,                0.91374,                0.87847,                0.95258,                0.66207,                  1.137,                0.50384,                 1.3848,             0.00062262,             0.00062262,             0.00062262
                    116,                 1.0596,                 0.4899,                 1.2045,                0.91164,                0.87878,                 0.9493,                0.65745,                 1.1505,                0.50774,                 1.3929,             0.00061554,             0.00061554,             0.00061554
                    117,                 1.0569,                0.48948,                 1.2171,                0.90688,                0.88113,                0.94917,                0.65893,                 1.1417,                0.50647,                 1.3888,             0.00060847,             0.00060847,             0.00060847
                    118,                 1.0676,                 0.4934,                 1.2045,                0.90792,                0.87632,                0.94901,                0.65768,                 1.1424,                0.51034,                 1.3907,             0.00060139,             0.00060139,             0.00060139
                    119,                 1.0604,                 0.4872,                 1.2116,                0.90543,                0.88323,                0.95075,                0.65915,                 1.1392,                 0.5037,                 1.3842,             0.00059432,             0.00059432,             0.00059432
                    120,                 1.0595,                0.49238,                 1.2065,                0.90475,                0.87898,                0.94855,                0.65604,                 1.1527,                0.51236,                  1.397,             0.00058725,             0.00058725,             0.00058725
                    121,                 1.0441,                0.48519,                 1.2107,                0.91091,                0.87785,                0.94795,                0.65422,                 1.1497,                0.50858,                 1.3984,             0.00058017,             0.00058017,             0.00058017
                    122,                 1.0526,                0.48353,                 1.1931,                0.90231,                0.88543,                0.95006,                0.65762,                 1.1483,                0.50262,                 1.3947,              0.0005731,              0.0005731,              0.0005731
                    123,                 1.0427,                0.48064,                 1.1912,                0.90479,                0.88369,                0.94957,                0.65769,                 1.1496,                0.50189,                 1.3981,             0.00056603,             0.00056603,             0.00056603
                    124,                  1.041,                0.47809,                 1.1987,                0.90839,                0.88543,                0.95109,                0.66049,                 1.1475,                0.50174,                 1.3932,             0.00055895,             0.00055895,             0.00055895
                    125,                 1.0358,                0.47938,                  1.204,                 0.9051,                 0.8779,                0.94774,                0.65164,                 1.1605,                0.51079,                 1.4084,             0.00055188,             0.00055188,             0.00055188
                    126,                 1.0436,                0.47846,                 1.1965,                0.90492,                0.88387,                0.94931,                0.65633,                 1.1517,                0.50213,                 1.3987,             0.00054481,             0.00054481,             0.00054481
                    127,                 1.0459,                0.47819,                 1.1868,                0.90564,                0.88164,                0.95037,                0.65371,                 1.1559,                0.50332,                  1.405,             0.00053773,             0.00053773,             0.00053773
                    128,                 1.0378,                0.47675,                 1.1879,                0.90541,                0.87775,                0.94817,                0.65634,                 1.1506,                0.50319,                 1.3981,             0.00053066,             0.00053066,             0.00053066
                    129,                 1.0396,                 0.4717,                 1.1883,                  0.903,                0.88451,                0.94863,                0.65413,                 1.1537,                0.51131,                 1.4059,             0.00052359,             0.00052359,             0.00052359
                    130,                 1.0386,                0.47625,                 1.1943,                0.90995,                0.87837,                0.94977,                 0.6574,                  1.149,                0.50394,                 1.3981,             0.00051651,             0.00051651,             0.00051651
